circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:935772|939412	chr1	935772	939412	3	3_3_0	245	0.024	exon	ENSG00000187634.11,	+	SRR3479243.24118181,SRR3479243.7018125,SRR3479243.6059396,
chr1:935772|939460	chr1	935772	939460	2	2_2_0	188	0.021	exon	ENSG00000187634.11,	+	SRR3479243.13976713,SRR3479243.20963156,
chr1:1223244|1223968	chr1	1223244	1223968	27	15_17_2	126	0.300	exon	ENSG00000078808.16,	-	SRR3479243.232774,SRR3479243.1422543,SRR3479243.2930096,SRR3479243.12503484,SRR3479243.13060636,SRR3479243.13370889,SRR3479243.14315002,SRR3479243.15025656,SRR3479243.22487492,SRR3479243.23186206,SRR3479243.23649187,SRR3479243.23948518,SRR3479243.24385724,SRR3479243.24712447,SRR3479243.7245938,SRR3479243.7661744,SRR3479243.8117964,SRR3479243.26392583,SRR3479243.27914777,SRR3479243.10339858,SRR3479243.3506820,SRR3479243.4486623,SRR3479243.5313451,SRR3479243.5453824,SRR3479243.31027856,SRR3479243.6947996,SRR3479243.8803462,
chr1:1256045|1267992	chr1	1256045	1267992	3	1_2_2	245	0.024	exon	ENSG00000160087.20,	-	SRR3479243.2912189,SRR3479243.6713565,SRR3479243.4056672,
chr1:1256992|1257310	chr1	1256992	1257310	2	2_1_1	203	0.019	exon	ENSG00000160087.20,	-	SRR3479243.12978440,SRR3479243.10519036,
chr1:1387235|1390865	chr1	1387235	1390865	2	2_1_1	178	0.022	exon	ENSG00000221978.11,	-	SRR3479243.19242055,SRR3479243.10529812,
chr1:1482138|1518990	chr1	1482138	1518990	3	3_3_0	15	0.286	intergenic_region	n/a	+	SRR3479243.1207054,SRR3479243.5205539,SRR3479243.28267367,
chr1:1561332|1564916	chr1	1561332	1564916	4	4_3_0	358	0.022	exon	ENSG00000160075.11,	-	SRR3479243.9312902,SRR3479243.19890334,SRR3479243.21107041,SRR3479243.21283158,
chr1:1692449|1739704	chr1	1692449	1739704	4	4_2_0	8	0.500	intergenic_region	n/a	-	SRR3479243.6756189,SRR3479243.30110607,SRR3479243.27633216,SRR3479243.28202255,
chr1:1789053|1790596	chr1	1789053	1790596	2	2_2_0	744	0.005	exon	ENSG00000078369.17,	-	SRR3479243.725364,SRR3479243.26320828,
chr1:1815756|1839238	chr1	1815756	1839238	3	2_1_3	566	0.010	exon	ENSG00000078369.17,	-	SRR3479243.14755524,SRR3479243.10126085,SRR3479243.11172087,
chr1:2302978|2304585	chr1	2302978	2304585	2	2_2_0	122	0.032	exon	ENSG00000157933.9,	+	SRR3479243.22089485,SRR3479243.11165052,
chr1:3740233|3746186	chr1	3740233	3746186	2	2_2_0	123	0.031	exon	ENSG00000227372.11,	-	SRR3479243.13754214,SRR3479243.4175319,
chr1:5873252|5880239	chr1	5873252	5880239	2	1_1_2	8	0.333	exon	ENSG00000131697.17,	-	SRR3479243.13223716,SRR3479243.26088485,
chr1:5904617|5986327	chr1	5904617	5986327	2	2_2_0	8	0.333	exon	ENSG00000131697.17,	-	SRR3479243.13406420,SRR3479243.27454927,
chr1:5961794|5986327	chr1	5961794	5986327	3	3_3_0	8	0.429	exon	ENSG00000131697.17,	-	SRR3479243.14807233,SRR3479243.25131832,SRR3479243.4161049,
chr1:5967299|5986327	chr1	5967299	5986327	2	1_2_1	14	0.222	exon	ENSG00000131697.17,	-	SRR3479243.27656230,SRR3479243.30318248,
chr1:6595485|6599452	chr1	6595485	6599452	2	1_2_1	37	0.098	exon	ENSG00000162413.16,	-	SRR3479243.1520927,SRR3479243.3871175,
chr1:6667709|6681037	chr1	6667709	6681037	3	1_2_1	161	0.036	exon	ENSG00000007923.15,	-	SRR3479243.731269,SRR3479243.18306310,SRR3479243.26245627,
chr1:6806983|6825210	chr1	6806983	6825210	9	5_7_3	293	0.058	exon	ENSG00000171735.18,	+	SRR3479243.599754,SRR3479243.2821657,SRR3479243.2884252,SRR3479243.23844157,SRR3479243.20731460,SRR3479243.9541263,SRR3479243.10666322,SRR3479243.30319184,SRR3479243.3081647,
chr1:7777160|7778169	chr1	7777160	7778169	18	16_7_10	217	0.142	exon	ENSG00000049245.12,	+	SRR3479243.13374474,SRR3479243.15315810,SRR3479243.17845126,SRR3479243.18111453,SRR3479243.18379361,SRR3479243.22561765,SRR3479243.22578001,SRR3479243.23668231,SRR3479243.6761194,SRR3479243.7060524,SRR3479243.19542234,SRR3479243.20238478,SRR3479243.20999981,SRR3479243.9693938,SRR3479243.3776603,SRR3479243.4906299,SRR3479243.28619002,SRR3479243.28160305,
chr1:8422727|8614686	chr1	8422727	8614686	2	0_2_2	55	0.068	exon	ENSG00000142599.17,	-	SRR3479243.11428811,SRR3479243.30788981,
chr1:8465925|8508675	chr1	8465925	8508675	2	0_2_2	67	0.056	exon	ENSG00000142599.17,	-	SRR3479243.15392935,SRR3479243.28834970,
chr1:8465925|8614686	chr1	8465925	8614686	6	5_5_2	47	0.203	exon	ENSG00000142599.17,	-	SRR3479243.959359,SRR3479243.8004780,SRR3479243.25461721,SRR3479243.25722219,SRR3479243.12288144,SRR3479243.3328553,
chr1:8495063|8557523	chr1	8495063	8557523	9	1_1_6	42	0.300	exon	ENSG00000142599.17,	-	SRR3479243.16194169,SRR3479243.9182139,SRR3479243.13251224,SRR3479243.14079256,SRR3479243.15930084,SRR3479243.17842910,SRR3479243.25469645,SRR3479243.27408759,SRR3479243.10208413,
